label,ch1_stats/Col1_CrestFactor,ch_stats/Col1_Kurtosis,ch1_stats/Col1_RMS,ch1_stats/Col1_Std,ch2_stats/Col1_Mean,ch2_stats/Col1_RMS,ch2_stats/Col_Skewness,ch2_stats/Col1_Std,ch3_stats/Col1_CrestFactor,ch3_stats/Col1_SINAD,ch3_stats/Col1_SNR,ch3_stats/Col1_THD
0,2.368252186,1.92702009,2.222505775,2.222489778,-0.015149406,0.625124848,4.293144106,0.624945718,5.656937438,-5.447553296,-4.997679851,-4.460751702
0,2.40197809,1.920552079,2.180717403,2.180281128,-0.018269009,0.567725509,3.998452765,0.567435544,8.748128968,-12.53150768,-12.4186748,-3.235284417
0,2.415669731,1.952337279,2.178879875,2.178831735,-0.00636525,0.456459515,2.888566956,0.456418392,8.311148067,-12.97660929,-12.86850976,-2.95907775
0,2.45950724,1.820542612,2.140044182,2.140052032,0.001730691,0.41417839,2.063527172,0.414177732,7.231759669,-13.56566716,-13.46781802,-2.794385847
0,2.250242838,1.860865061,2.33906051,2.33901052,-0.008182868,0.369402367,3.349785501,0.369314362,6.813430246,-13.3301343,-13.22492674,-2.718165926
0,2.421111233,2.247940011,2.128616747,2.128529865,0.011139371,0.36638058,1.86021372,0.366213817,7.471154932,-13.32392786,-13.22584528,-3.03131761
0,3.311135518,4.030405324,1.589622089,1.58962597,-0.008075858,0.47218009,2.113186297,0.472114395,8.241155935,-13.85033553,-13.75835615,-2.782160857
0,2.265513258,2.065627226,2.323294354,2.323310906,-0.004944675,0.378294925,2.493597369,0.37826531,7.694691653,-13.78137807,-13.68300146,-2.560086427
0,2.545091952,2.516969991,2.068080155,2.067945364,0.005263643,0.357331668,3.314320384,0.35729545,7.589315836,-13.17799007,-13.07447022,-2.940374076
0,3.347613197,4.207250844,1.572300577,1.57228502,-0.011976109,0.382420171,2.129205354,0.38223533,7.942343478,-13.28866217,-13.18621253,-2.880322972
0,2.421165668,2.237258821,2.173933915,2.173394856,-0.003932234,0.415077722,1.96196558,0.415062061,8.087193064,-13.16730368,-13.05891463,-2.793179988
0,2.407309098,2.067496006,2.186447168,2.186448958,-0.009134679,0.400236898,1.791703393,0.400135501,8.943389289,-13.32301086,-13.22163539,-2.892335292
0,2.442126841,2.075052596,2.155274686,2.155146737,0.000523455,0.374201529,1.447387086,0.374203836,8.692439239,-13.11822231,-13.01151636,-2.881874008
0,2.344414052,1.994966142,2.245104339,2.245119486,0.001810881,0.340289101,3.082880328,0.340286713,8.975707059,-13.19035537,-13.08404313,-2.832109901
0,2.329104838,2.003476732,2.259861417,2.259837526,0.005140251,0.407359613,2.430700155,0.407330091,9.938676809,-13.43153853,-13.3300324,-2.788103262
0,2.348297015,2.01967531,2.241392007,2.24118854,-0.004402136,0.362930245,1.903286937,0.362906139,8.920735304,-13.41526404,-13.30974944,-2.629785702
0,2.289542553,1.967704217,2.298910825,2.298915455,0.005470415,0.358260687,2.361025002,0.358221478,8.753404374,-13.60435766,-13.49974473,-2.488696127
0,2.219680977,1.926984616,2.371266058,2.371229691,-0.002872097,0.381320234,2.342350522,0.381312141,9.199194399,-13.57023213,-13.46198636,-2.372824616
0,2.338489615,1.978764635,2.250792189,2.250698556,-0.001770082,0.31118302,3.136755802,0.311180208,8.331278229,-14.31357304,-14.21448203,-2.018223408
0,2.301604013,2.011247674,2.264801804,2.264632162,-0.016750558,0.40463216,2.061908465,0.404288187,10.33126796,-12.90423142,-12.79938288,-3.172550332
0,2.335812852,1.976291584,2.253371522,2.253380102,-0.002366713,0.423320541,2.935454668,0.423316949,10.37456719,-13.00396684,-12.89617442,-2.953075832
0,2.348047878,1.99068288,2.241629828,2.241519461,-0.002937186,0.501409453,3.09439525,0.501404431,9.687854903,-13.18975681,-13.08470569,-2.882312235
0,2.15474073,1.955647085,2.330790147,2.330720429,0.011557272,0.658351916,2.316964594,0.658255167,9.95452523,-12.76767241,-12.66443272,-3.377032532
0,2.253915313,1.925516689,2.335249301,2.335038236,-0.002957316,0.540397556,2.150143493,0.540393324,9.413137358,-13.07112513,-12.96746941,-3.058828612
0,2.192297261,1.890987216,2.400885252,2.400806888,-0.000821444,0.631023076,2.265419656,0.631027048,9.082884261,-12.81480574,-12.70374631,-3.011645098
0,2.210845859,1.915307952,2.380742257,2.380616369,-0.009599978,0.712620077,2.230206794,0.712560501,8.705251333,-12.86185169,-12.75262903,-3.034739501
0,2.192992999,1.910880324,2.400123558,2.400138271,-0.002693835,0.399330699,2.222534879,0.399324466,8.221713434,-12.67273977,-12.55158213,-2.784172065
0,2.196629857,1.905239994,2.396149785,2.39607305,-0.007609639,0.473320037,2.51852254,0.473262243,7.809334096,-12.59246709,-12.47485279,-2.988811901
0,2.248488706,2.021941907,2.3408853,2.339242786,-0.011763333,0.473153386,2.523652196,0.473010514,7.525725468,-12.7081598,-12.58820008,-2.792051105
0,2.199981522,1.906909838,2.392499259,2.392515081,0.003916524,0.498816197,1.975880909,0.498804384,8.205932892,-13.17975191,-13.0691927,-2.667000882
0,2.165247203,1.953745249,2.430879095,2.430894089,-0.00311029,0.480500097,2.829742155,0.480493462,7.302750469,-12.96403998,-12.84963049,-2.731326138
0,2.141187854,2.02528127,2.458193544,2.458208681,0.008681813,0.395164845,2.591440439,0.395072285,7.81635304,-13.15481302,-13.04436553,-2.690932981
0,2.183653511,2.072765182,2.410388889,2.410404145,-0.002374012,0.451226178,2.316432712,0.451223156,7.136623418,-13.26051806,-13.1555876,-2.806348388
